artist_name,popularity,followers,genres,album_name,album_id,release_date,total_tracks,available_markets_count,album_type,album_group,album_popularity,album_genres,album_label,track_number,track_name,track_id,duration_ms,explicit,track_popularity,artists
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,1,The Way I Am,6qNALlmZa1ESnCxJmXE1K9,186080,False,57,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,2,Attention,5cF0dROlMOK5uNZtivgu50,208786,False,80,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,3,LA Girls,6pQadiopoIsS4x78tjSkJt,197106,False,51,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,4,How Long,6wmAHw1szh5RCKSRjiXhPe,200853,False,71,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,5,Done for Me (feat. Kehlani),1lsBTdE6MGsKeZCD6llNu7,180493,False,64,"Charlie Puth, Kehlani"
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,6,Patient,2ZrHbO88rM6Ijeg0aJmSzl,190533,False,51,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,7,If You Leave Me Now (feat. Boyz II Men),5QLAHKawoQwVRNf1waaVW7,243160,False,46,"Charlie Puth, Boyz II Men"
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,8,BOY,7aSvPfoqiM0zwPqupLGaHd,263413,False,48,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,9,Slow It Down,6TapyDFlRUlZ4cmIaqJx4k,190053,False,48,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,10,Change (feat. James Taylor),17RMnDmv5CEo3s0tmipRyb,217560,False,45,"Charlie Puth, James Taylor"
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,11,Somebody Told Me,1PuQTv1Kr1gzLgVeATSuh6,216053,False,44,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,12,Empty Cups,7k7JKDjCd9zuL0iF7iWaNs,170946,False,47,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Voicenotes,0mZIUXje90JtHxPNzWsJNR,2018-05-11,13,184,album,album,73,,Artist Partner,13,Through It All,4jgF1sLf3TkQbZkLHsc6SI,206453,False,41,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,1,One Call Away,19f9roe77Hen23e6vJ1iBN,194453,False,29,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,2,Dangerously,0DbVHIAldoWzrImJU9WN5y,199133,False,25,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,3,Marvin Gaye (feat. Meghan Trainor),3qVZXhECuCCsPMm7toPO8X,190453,False,25,"Charlie Puth, Meghan Trainor"
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,4,Losing My Mind,0pimOBUm2iDR5kv7Jw87U0,212213,False,18,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,5,We Don't Talk Anymore (feat. Selena Gomez),4QArRxewE1TEJb8AiwfMYF,217706,False,29,"Charlie Puth, Selena Gomez"
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,6,My Gospel,6npLtUJC0l8WDKHPeP2rwX,210866,False,20,Charlie Puth
